"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"SW15,SW7,SW8,SW11,SW2,SW62,SW31,SW45,SW3,SW20,SW71,SW10,SW27,SW37,SW39,SW33,SW28,SW43,SW72,SW74,SW44,SW82,SW59,SW75,SW5,SW80,SW34,SW1,SW41,SW52,SW23,SW13,SW17,SW46,SW16,SW40,SW18,SW4,SW49,SW79,SW32,SW83,SW35,SW67,SW81,SW30,SW65,SW47,SW57,SW55,SW26,SW24,SW12,SW73,SW56,SW60,SW54,SW61,SW6,SW50,SW58,SW68,SW70,SW36,SW51,SW25,SW14,SW77,SW76,SW66,SW22,SW42,SW48,SW19,SW69,SW9,SW21,SW63,SW29,SW64,SW78,SW38,SW53";"SW_Cherry_MX_PCB";83;"SW_Push";;;
2;"D43,D49,D74,D39,D35,D75,D19,D68,D4,D62,D46,D8,D60,D16,D73,D47,D6,D56,D2,D3,D57,D29,D65,D15,D34,D76,D33,D17,D11,D31,D22,D52,D53,D21,D79,D45,D44,D66,D55,D54,D18,D25,D81,D58,D40,D5,D27,D59,D36,D7,D28,D38,D9,D70,D20,D77,D61,D13,D24,D63,D41,D30,D83,D72,D1,D82,D51,D37,D14,D64,D12,D67,D10,D69,D48,D78,D50,D71,D32,D26,D23,D42,D80";"D_SOD-123";83;"D_Small";;;
3;"C9,C4,C2,C3";"C_0805_2012Metric";4;"100n";;;
4;"SW85,SW84";"SW_Push_1P1T_NO_CK_KSC6xxJ";2;"SW_Push";;;
5;"C1";"C_0805_2012Metric";1;"0.1u";;;
6;"J1";"USB_C_Receptacle_JAE_DX07S016JA1R1500";1;"USB_C_Receptacle_USB2.0_14P";;;
7;"U2";"LQFP-48_7x7mm_P0.5mm";1;"STM32F042C4Tx";;;
8;"R3,R4";"R_0805_2012Metric";2;"5.1k";;;
9;"R1";"R_0805_2012Metric";1;"10k";;;
10;"U1";"SOT-223-3_TabPin2";1;"LD1117S33TR_SOT223";;;
11;"C10";"C_0805_2012Metric";1;"10u";;;
12;"C6,C5";"C_0805_2012Metric";2;"4.7u";;;
13;"R2";"R_0805_2012Metric";1;"120";;;
14;"C8";"C_0805_2012Metric";1;"10n";;;
15;"C7";"C_0805_2012Metric";1;"1u";;;
