Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1u","C_0805_2012Metric",266.350000,-104.675000,180.000000,bottom
"C2","100n","C_0805_2012Metric",267.250000,-84.700000,180.000000,bottom
"C3","100n","C_0805_2012Metric",278.750000,-95.900000,0.000000,bottom
"C4","100n","C_0805_2012Metric",280.275000,-83.575000,90.000000,bottom
"C5","4.7u","C_0805_2012Metric",278.225000,-83.575000,90.000000,bottom
"C6","4.7u","C_0805_2012Metric",278.750000,-93.800000,0.000000,bottom
"C7","1u","C_0805_2012Metric",271.900000,-96.125000,0.000000,bottom
"C8","10n","C_0805_2012Metric",271.900000,-98.250000,0.000000,bottom
"C9","100n","C_0805_2012Metric",258.425000,-65.575000,180.000000,bottom
"C10","10u","C_0805_2012Metric",266.950000,-77.250000,0.000000,bottom
"D1","D_Small","D_SOD-123",34.900000,-41.725000,90.000000,bottom
"D2","D_Small","D_SOD-123",53.950000,-41.725000,90.000000,bottom
"D3","D_Small","D_SOD-123",73.000000,-41.725000,90.000000,bottom
"D4","D_Small","D_SOD-123",92.050000,-41.725000,90.000000,bottom
"D5","D_Small","D_SOD-123",111.100000,-41.725000,90.000000,bottom
"D6","D_Small","D_SOD-123",130.150000,-41.725000,90.000000,bottom
"D7","D_Small","D_SOD-123",149.200000,-41.725000,90.000000,bottom
"D8","D_Small","D_SOD-123",168.250000,-41.725000,90.000000,bottom
"D9","D_Small","D_SOD-123",187.300000,-41.725000,90.000000,bottom
"D10","D_Small","D_SOD-123",206.350000,-41.725000,90.000000,bottom
"D11","D_Small","D_SOD-123",225.400000,-41.725000,90.000000,bottom
"D12","D_Small","D_SOD-123",244.450000,-41.725000,90.000000,bottom
"D13","D_Small","D_SOD-123",263.500000,-41.725000,90.000000,bottom
"D14","D_Small","D_SOD-123",282.550000,-41.725000,90.000000,bottom
"D15","D_Small","D_SOD-123",301.600000,-41.725000,90.000000,bottom
"D16","D_Small","D_SOD-123",320.650000,-41.725000,90.000000,bottom
"D17","D_Small","D_SOD-123",34.825000,-60.950000,90.000000,bottom
"D18","D_Small","D_SOD-123",53.875000,-60.950000,90.000000,bottom
"D19","D_Small","D_SOD-123",72.925000,-60.950000,90.000000,bottom
"D20","D_Small","D_SOD-123",91.975000,-60.950000,90.000000,bottom
"D21","D_Small","D_SOD-123",111.025000,-60.950000,90.000000,bottom
"D22","D_Small","D_SOD-123",130.075000,-60.950000,90.000000,bottom
"D23","D_Small","D_SOD-123",149.125000,-60.950000,90.000000,bottom
"D24","D_Small","D_SOD-123",168.175000,-60.950000,90.000000,bottom
"D25","D_Small","D_SOD-123",187.225000,-60.950000,90.000000,bottom
"D26","D_Small","D_SOD-123",206.275000,-60.950000,90.000000,bottom
"D27","D_Small","D_SOD-123",225.325000,-60.950000,90.000000,bottom
"D28","D_Small","D_SOD-123",244.375000,-60.950000,90.000000,bottom
"D29","D_Small","D_SOD-123",263.425000,-60.950000,90.000000,bottom
"D30","D_Small","D_SOD-123",292.000000,-60.950000,90.000000,bottom
"D31","D_Small","D_SOD-123",320.575000,-60.950000,90.000000,bottom
"D32","D_Small","D_SOD-123",39.612500,-79.825000,90.000000,bottom
"D33","D_Small","D_SOD-123",63.425000,-79.825000,90.000000,bottom
"D34","D_Small","D_SOD-123",82.475000,-79.825000,90.000000,bottom
"D35","D_Small","D_SOD-123",101.525000,-79.825000,90.000000,bottom
"D36","D_Small","D_SOD-123",120.575000,-79.825000,90.000000,bottom
"D37","D_Small","D_SOD-123",139.625000,-79.825000,90.000000,bottom
"D38","D_Small","D_SOD-123",158.675000,-79.825000,90.000000,bottom
"D39","D_Small","D_SOD-123",177.725000,-79.825000,90.000000,bottom
"D40","D_Small","D_SOD-123",196.775000,-79.825000,90.000000,bottom
"D41","D_Small","D_SOD-123",215.825000,-79.825000,90.000000,bottom
"D42","D_Small","D_SOD-123",234.875000,-79.825000,90.000000,bottom
"D43","D_Small","D_SOD-123",253.925000,-79.825000,90.000000,bottom
"D44","D_Small","D_SOD-123",272.975000,-79.825000,90.000000,bottom
"D45","D_Small","D_SOD-123",296.787500,-79.825000,90.000000,bottom
"D46","D_Small","D_SOD-123",320.600000,-79.825000,90.000000,bottom
"D47","D_Small","D_SOD-123",41.993750,-99.075000,90.000000,bottom
"D48","D_Small","D_SOD-123",68.187500,-99.075000,90.000000,bottom
"D49","D_Small","D_SOD-123",87.237500,-99.075000,90.000000,bottom
"D50","D_Small","D_SOD-123",106.287500,-99.075000,90.000000,bottom
"D51","D_Small","D_SOD-123",125.337500,-99.075000,90.000000,bottom
"D52","D_Small","D_SOD-123",144.387500,-99.075000,90.000000,bottom
"D53","D_Small","D_SOD-123",163.437500,-99.075000,90.000000,bottom
"D54","D_Small","D_SOD-123",182.487500,-99.075000,90.000000,bottom
"D55","D_Small","D_SOD-123",201.537500,-99.075000,90.000000,bottom
"D56","D_Small","D_SOD-123",220.587500,-99.075000,90.000000,bottom
"D57","D_Small","D_SOD-123",239.637500,-99.075000,90.000000,bottom
"D58","D_Small","D_SOD-123",258.687500,-99.075000,90.000000,bottom
"D59","D_Small","D_SOD-123",289.643750,-99.075000,90.000000,bottom
"D60","D_Small","D_SOD-123",320.600000,-99.075000,90.000000,bottom
"D61","D_Small","D_SOD-123",46.631250,-118.075000,90.000000,bottom
"D62","D_Small","D_SOD-123",77.587500,-118.075000,90.000000,bottom
"D63","D_Small","D_SOD-123",96.637500,-118.075000,90.000000,bottom
"D64","D_Small","D_SOD-123",115.687500,-118.075000,90.000000,bottom
"D65","D_Small","D_SOD-123",134.737500,-118.075000,90.000000,bottom
"D66","D_Small","D_SOD-123",153.787500,-118.075000,90.000000,bottom
"D67","D_Small","D_SOD-123",172.837500,-118.075000,90.000000,bottom
"D68","D_Small","D_SOD-123",191.887500,-118.075000,90.000000,bottom
"D69","D_Small","D_SOD-123",210.937500,-118.075000,90.000000,bottom
"D70","D_Small","D_SOD-123",229.987500,-118.075000,90.000000,bottom
"D71","D_Small","D_SOD-123",249.037500,-118.075000,90.000000,bottom
"D72","D_Small","D_SOD-123",275.231250,-118.075000,90.000000,bottom
"D73","D_Small","D_SOD-123",301.425000,-118.075000,90.000000,bottom
"D74","D_Small","D_SOD-123",320.475000,-118.075000,90.000000,bottom
"D75","D_Small","D_SOD-123",37.056250,-137.050000,90.000000,bottom
"D76","D_Small","D_SOD-123",60.868750,-137.050000,90.000000,bottom
"D77","D_Small","D_SOD-123",84.681250,-137.050000,90.000000,bottom
"D78","D_Small","D_SOD-123",156.118750,-137.050000,90.000000,bottom
"D79","D_Small","D_SOD-123",227.556250,-137.050000,90.000000,bottom
"D80","D_Small","D_SOD-123",251.368750,-137.050000,90.000000,bottom
"D81","D_Small","D_SOD-123",282.325000,-137.050000,90.000000,bottom
"D82","D_Small","D_SOD-123",301.375000,-137.050000,90.000000,bottom
"D83","D_Small","D_SOD-123",320.425000,-137.050000,90.000000,bottom
"J1","USB_C_Receptacle_USB2.0_14P","USB_C_Receptacle_JAE_DX07S016JA1R1500",259.850000,-25.300000,0.000000,bottom
"R1","10k","R_0805_2012Metric",289.250000,-105.250000,180.000000,bottom
"R2","120","R_0805_2012Metric",266.937500,-75.150000,0.000000,bottom
"R3","5.1k","R_0805_2012Metric",257.850000,-33.512500,-90.000000,bottom
"R4","5.1k","R_0805_2012Metric",261.150000,-31.712500,-90.000000,bottom
"SW84","SW_Push","SW_Push_1P1T_NO_CK_KSC6xxJ",265.575000,-110.475000,-90.000000,bottom
"SW85","SW_Push","SW_Push_1P1T_NO_CK_KSC6xxJ",291.100000,-111.225000,90.000000,bottom
"U1","LD1117S33TR_SOT223","SOT-223-3_TabPin2",266.000000,-67.900000,-90.000000,bottom
"U2","STM32F042C4Tx","LQFP-48_7x7mm_P0.5mm",272.937500,-89.150000,90.000000,bottom
